place_id,name,address,lat,lng,type
ChIJrdECQWEpdTERswY401sqSTU,Lộ Thiên Quán,"872 Đ. Trường Chinh, Phường 15, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8204625,106.6309555,quán ăn
ChIJbz01KTAvdTER2Wus1jcICGA,Nhà hàng Việt Phố,"Lê Quý Đôn, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",10.7834029,106.6883641,quán ăn
ChIJswgLOy4pdTERbXda2UtF_XU,Ẩm Thực Quê Nhà Quận Tân Bình,"52A Đ. Nguyễn Thái Bình, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",10.7990865,106.6552285,quán ăn
ChIJhQMydSwqdTEREem031sEOU8,CORNER snacks Truong Chinh,"27G8 Đ. DD4, Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh 70000, Vietnam",10.8407538,106.622703,quán ăn
ChIJES9_wSspdTERD2L8recDP_A,Quán Cua Hoa,"1 Huỳnh Lan Khanh, Phường 2, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8052942,106.66524,quán ăn
ChIJXwuAxTwvdTERXKMPKvqKUJM,Nhà Hàng Phố 79 (chi nhánh 1),"120 Sương Nguyệt Anh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",10.7714457,106.6884479,quán ăn
ChIJtW3u8dArdTERnJI5uEYAU14,Quán Mộc,"79/1A, Đ. Phan Văn Hớn, Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Vietnam",10.8278988,106.6210172,quán ăn
ChIJi9yqpi8vdTERlVzWCxaJLWs,Du thuyền Nhà hàng Benthanh Princess,"Cảng Sài Gòn, 5 Đ. Nguyễn Tất Thành, Phường 13, Quận 4, Thành phố Hồ Chí Minh 70000, Vietnam",10.7664721,106.7084621,quán ăn
ChIJcRpq2CQvdTER25AvVy5NsvU,Nhà Hàng Ăn Uống Sài Gòn 3,"9A Tú Xương, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",10.783766,106.6896721,quán ăn
ChIJk6wvjyEvdTERemp9N-N6Et8,Khu ăn vặt Cao Thắng - Bàn Cờ,"51 Cao Thắng, Phường 3, Quận 3, Thành phố Hồ Chí Minh, Vietnam",10.7696755,106.6812782,quán ăn
ChIJfQedzzwvdTERnnSR-Y1W4CA,Nhà Hàng Ngọc Sương Saigon,"106 Sương Nguyệt Anh, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.7718132,106.6885677,quán ăn
ChIJW3XUti4vdTEROwTSqtSbq1I,Phở Miến gà Kỳ Đồng,"14/5Bis Đ. Kỳ Đồng, Phường 9, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",10.7839022,106.6819786,quán ăn
ChIJ_Q0rUPgrdTER1BJy5LNrWHc,Tu Tri Restaurant,"206 Đ. Nguyễn Súy, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam",10.795492,106.6227805,quán ăn
ChIJdyi5YVUpdTERBlzr40x6hx8,Quán Nướng Yaki,"375 Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam",10.793899,106.6289023,quán ăn
ChIJJ4DiiUgvdTERnw0LDbg6b-I,Hẻm Ăn Vặt 76,"76 Hai Bà Trưng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 710200, Vietnam",10.7788739,106.7026688,quán ăn
ChIJPUhuzzIpdTERjd5LrQdvxVg,Bamboo Quán - Ẩm thực Tây Nguyên,"1374 Trường Sa, Phường 03, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",10.7920195,106.6626391,quán ăn
ChIJgZmqLFopdTER9-ODCE2S1Xo,Giang Ghẹ Tân Bình,"680 Đ. Trường Chinh, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",10.8062351,106.6352005,quán ăn
